248;104
248;112
248;120
248;128
248;136
248;152
248;144
248;160
248;168
248;176
248;184
248;192
248;208
248;216
248;200
368;272
384;272
376;272
392;272
400;272
408;272
416;272
424;272
432;272
472;192
472;184
472;176
472;168
472;160
472;152
472;144
472;136
472;128
472;120
472;112
472;104
472;96
472;88
8;328
0;328
16;328
24;328
32;328
40;328
48;328
56;328
64;328
72;328
80;328
88;328
96;328
104;328
112;328
128;328
120;328
136;328
144;328
152;328
160;328
168;328
176;328
184;328
192;328
200;328
208;328
216;328
224;328
232;328
240;328
248;328
256;328
264;328
272;328
272;336
272;344
272;352
272;360
272;376
272;368
272;384
272;400
272;408
272;392
272;416
280;416
288;416
296;416
304;416
312;416
320;416
328;416
336;416
344;416
352;416
360;416
368;416
376;416
384;416
392;416
408;416
400;416
424;416
416;416
432;416
440;416
448;416
456;416
472;416
464;416
480;416
488;416
496;416
504;416
512;416
520;416
528;416
536;416
552;416
544;416
560;416
568;416
576;416
584;416
592;416
600;416
608;416
616;416
624;416
632;416
640;416
640;408
640;392
640;400
640;384
640;376
640;368
640;280
640;272
640;264
640;256
640;248
640;232
640;224
640;240
640;216
640;208
640;192
640;184
640;200
640;176
640;160
640;168
640;64
640;56
640;48
640;40
640;32
640;16
640;0
640;24
640;8
648;416
656;416
664;416
672;416
680;416
696;416
688;416
704;416
712;416
720;416
728;416
736;416
744;416
752;416
760;416
768;416
776;416
784;416
792;416
